Disease Name,OrphaCode,Disease Category
Pili torti-developmental delay-neurological abnormalities syndrome,2891,Rare skin disease
Pili torti,2889,Rare skin disease
Pili torti-onychodysplasia syndrome,2890,Rare developmental defect during embryogenesis
Neurenteric cyst,268865,Rare developmental defect during embryogenesis
Pierre Robin syndrome-faciodigital anomaly syndrome,2888,Rare developmental defect during embryogenesis
Isolated amyelia,268868,Rare developmental defect during embryogenesis
Short stature-webbed neck-heart disease syndrome,2865,Rare developmental defect during embryogenesis
Short stature-deafness-neutrophil dysfunction-dysmorphism syndrome,2866,Rare developmental defect during embryogenesis
Short stature-wormian bones-dextrocardia syndrome,2863,Rare developmental defect during embryogenesis
Spinal dysraphism with a posterior meningocele,268744,Rare developmental defect during embryogenesis
Phakomatosis pigmentovascularis,2875,Rare developmental defect during embryogenesis
Occipital encephalocele,268823,Rare developmental defect during embryogenesis
PHAVER syndrome,2876,Rare developmental defect during embryogenesis
Cranial meningocele,268820,Rare developmental defect during embryogenesis
Cephalocele,268817,Rare developmental defect during embryogenesis
Phakomatosis pigmentokeratotica,2874,Rare developmental defect during embryogenesis
Myelocystocele,268813,Rare developmental defect during embryogenesis
Isolated posterior meningocele,268810,Rare developmental defect during embryogenesis
Pfeiffer-Palm-Teller syndrome,2871,Rare developmental defect during embryogenesis
"Cardiocranial syndrome, Pfeiffer type",2872,Rare developmental defect during embryogenesis
"Short stature, Brussels type",2867,Rare bone disease
Short stature-valvular heart disease-characteristic facies syndrome,2868,Rare developmental defect during embryogenesis
Congenital pericardium anomaly,2846,Rare developmental defect during embryogenesis
Penoscrotal transposition,2842,Rare developmental defect during embryogenesis
Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome,2848,Rare systemic or rheumatologic disease
Pericardial and diaphragmatic defect,2847,Rare developmental defect during embryogenesis
Neural tube closure defect,268357,Rare developmental defect during embryogenesis
Renal caliceal diverticuli-deafness syndrome,2838,Rare developmental defect during embryogenesis
Hereditary thrombocytopenia with normal platelets,268322,Rare hematologic disease
Pelvic dysplasia-arthrogryposis of lower limbs syndrome,2840,Rare developmental defect during embryogenesis
Pelvis-shoulder dysplasia,2839,Rare developmental defect during embryogenesis
Autosomal recessive intermediate Charcot-Marie-Tooth disease,268337,Rare neurologic disease
Perrault syndrome,2855,Rare developmental defect during embryogenesis
Fuhrmann syndrome,2854,Rare developmental defect during embryogenesis
Peters anomaly,708,Rare developmental defect during embryogenesis
Open iniencephaly,268363,Rare developmental defect during embryogenesis
Closed iniencephaly,268366,Rare developmental defect during embryogenesis
Alopecia-intellectual disability syndrome,2850,Rare developmental defect during embryogenesis
Open spinal dysraphism,268369,Rare developmental defect during embryogenesis
RAS-associated autoimmune leukoproliferative disease,268114,Rare immune disease
PARC syndrome,2825,Rare developmental defect during embryogenesis
Spastic paraplegia-precocious puberty syndrome,2826,Rare neurologic disease
Intraocular medulloepithelioma,268139,Rare neoplastic disease
Spheroid body myopathy,268129,Rare neurologic disease
Spastic paraplegia-facial-cutaneous lesions syndrome,2819,Rare neurologic disease
Spastic paraplegia-nephritis-deafness syndrome,2820,Rare neurologic disease
Spastic paraplegia-neuropathy-poikiloderma syndrome,2821,Rare neurologic disease
Autosomal recessive spastic paraplegia type 11,2822,Rare neurologic disease
Pectus excavatum-macrocephaly-dysplastic nails syndrome,2835,Rare developmental defect during embryogenesis
DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion,268261,Rare developmental defect during embryogenesis
PEHO syndrome,2836,Rare neurologic disease
Mycophenolate mofetil embryopathy,268249,Rare developmental defect during embryogenesis
Complication in hemodialysis,268316,Rare renal disease
Intermediate maple syrup urine disease,268162,Rare inborn errors of metabolism
Short tarsus-absence of lower eyelashes syndrome,2832,Rare developmental defect during embryogenesis
Classic maple syrup urine disease,268145,Rare inborn errors of metabolism
Thiamine-responsive maple syrup urine disease,268184,Rare inborn errors of metabolism
Stiff skin syndrome,2833,Rare skin disease
Wrinkly skin syndrome,2834,Rare skin disease
Intermittent maple syrup urine disease,268173,Rare inborn errors of metabolism
Proteus-like syndrome,2969,Rare neoplastic disease
Autosomal dominant prognathism,2964,Rare developmental defect during embryogenesis
De Barsy syndrome,2962,Rare inborn errors of metabolism
"46,XX difference of sex development-anorectal anomalies syndrome",2973,Rare developmental defect during embryogenesis
Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome,2972,Rare developmental defect during embryogenesis
Pseudoachondroplasia,750,Rare bone disease
"Pseudoleprechaunism syndrome, Patterson type",2976,Rare endocrine disease
"46,XX difference of sex development-skeletal anomalies syndrome",2975,Rare developmental defect during embryogenesis
Acrootoocular syndrome,2980,Rare developmental defect during embryogenesis
Chronic intestinal pseudoobstruction,2978,Rare gastroenterologic disease
Secondary interstitial lung disease in childhood and adulthood associated with a systemic vasculitis,264973,Rare respiratory disease
Secondary interstitial lung disease in childhood and adulthood associated with a metabolic disease,264968,Rare respiratory disease
Brachydactyly-long thumb syndrome,2946,Rare developmental defect during embryogenesis
"Renal agenesis, bilateral",1848,Rare developmental defect during embryogenesis
Secondary interstitial lung disease in childhood and adulthood associated with a systemic disease,264949,Rare respiratory disease
Absent thumb-short stature-immunodeficiency syndrome,2951,Rare developmental defect during embryogenesis
Genetic interstitial lung disease,264992,Rare respiratory disease
Triphalangeal thumbs-brachyectrodactyly syndrome,2947,Rare developmental defect during embryogenesis
Exposure-related interstitial lung disease,264984,Rare respiratory disease
Drug or radiation exposure-related interstitial lung disease,264978,Rare respiratory disease
Acrodysplasia scoliosis,2956,Rare developmental defect during embryogenesis
"Adducted thumbs-arthrogryposis syndrome, Christian type",2952,Rare developmental defect during embryogenesis
Hutchinson-Gilford progeria syndrome,740,Rare developmental defect during embryogenesis
Progeria-short stature-pigmented nevi syndrome,2959,Rare developmental defect during embryogenesis
Guttmacher syndrome,2957,Rare developmental defect during embryogenesis
X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,2958,Rare developmental defect during embryogenesis
Isolated polycystic liver disease,2924,Rare hepatic disease
Interstitial lung disease specific to infancy,264694,Rare respiratory disease
Secondary interstitial lung disease specific to childhood associated with a systemic disease,264699,Rare respiratory disease
Secondary interstitial lung disease specific to childhood associated with a connective tissue disease,264704,Rare respiratory disease
Digital extensor muscle aplasia-polyneuropathy,2926,Rare neurologic disease
Secondary interstitial lung disease specific to childhood associated with a systemic vasculitis,264709,Rare respiratory disease
Secondary interstitial lung disease specific to childhood associated with a granulomatous disease,264714,Rare respiratory disease
Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,2928,Rare neurologic disease
Secondary interstitial lung disease specific to childhood associated with a metabolic disease,264719,Rare respiratory disease
Cronkhite-Canada syndrome,2930,Rare developmental defect during embryogenesis
Interstitial lung disease specific to adulthood,264735,Rare respiratory disease
Primary interstitial lung disease specific to adulthood,264740,Rare respiratory disease
Crossed polysyndactyly,2935,Rare developmental defect during embryogenesis
Secondary interstitial lung disease specific to adulthood associated with a systemic disease,264745,Rare respiratory disease
Polysyndactyly-cardiac malformation syndrome,2934,Rare developmental defect during embryogenesis
Interstitial lung disease in childhood and adulthood,264757,Rare respiratory disease
Primary interstitial lung disease in childhood and adulthood,264762,Rare respiratory disease
Primary interstitial lung disease in childhood and adulthood due to alveolar structure disorder,264930,Rare respiratory disease
Porencephaly-cerebellar hypoplasia-internal malformations syndrome,2941,Rare developmental defect during embryogenesis
Primary interstitial lung disease in childhood and adulthood due to alveolar vascular disorder,264935,Rare respiratory disease
Secondary interstitial lung disease in childhood and adulthood,264944,Rare respiratory disease
Porencephaly,2940,Rare developmental defect during embryogenesis
Pitt-Hopkins syndrome,2896,Rare developmental defect during embryogenesis
Brachyolmia-amelogenesis imperfecta syndrome,2899,Rare bone disease
Leri pleonosteosis,2900,Rare developmental defect during embryogenesis
Partial duplication of the short arm of chromosome 1 syndrome,264431,Rare developmental defect during embryogenesis
POEMS syndrome,2905,Rare neoplastic disease
Trisomy 8p syndrome,264450,Rare developmental defect during embryogenesis
Hereditary acrokeratotic poikiloderma,2907,Rare skin disease
Poland syndrome,2911,Rare developmental defect during embryogenesis
Glycogen storage disease due to liver phosphorylase kinase deficiency,264580,Rare inborn errors of metabolism
Interstitial lung disease specific to childhood,264656,Rare respiratory disease
Postaxial polydactyly-dental and vertebral anomalies syndrome,2916,Rare developmental defect during embryogenesis
Primary interstitial lung disease specific to childhood due to alveolar structure disorder,264670,Rare respiratory disease
Polydactyly-myopia syndrome,2917,Rare developmental defect during embryogenesis
Primary interstitial lung disease specific to childhood,264665,Rare respiratory disease
Primary interstitial lung disease specific to childhood due to alveolar vascular disorder,264683,Rare respiratory disease
Orofaciodigital syndrome type 5,2919,Rare developmental defect during embryogenesis
Hereditary pulmonary alveolar proteinosis,264675,Rare respiratory disease
Oliver syndrome,2920,Rare developmental defect during embryogenesis
Isolated pulmonary capillaritis,264691,Rare respiratory disease
Preaxial polydactyly-colobomata-intellectual disability syndrome,2921,Rare developmental defect during embryogenesis
Congenital chylothorax,264688,Rare respiratory disease
Unilateral ocular duplication,3374,Rare ophthalmic disorder
Pulmonary arterial hypertension associated with congenital heart disease,275803,Rare respiratory disease
Pulmonary arterial hypertension associated with HIV infection,275808,Rare respiratory disease
Pulmonary arterial hypertension associated with portal hypertension,275813,Rare respiratory disease
Distal duplication 19q syndrome,1717,Rare developmental defect during embryogenesis
Trismus-pseudocamptodactyly syndrome,3377,Rare developmental defect during embryogenesis
Pulmonary arterial hypertension associated with schistosomiasis,275823,Rare respiratory disease
Trigonocephaly-bifid nose-acral anomalies syndrome,3368,Rare developmental defect during embryogenesis
Heritable pulmonary arterial hypertension,275777,Rare respiratory disease
Drug- or toxin-induced pulmonary arterial hypertension,275786,Rare respiratory disease
Pulmonary arterial hypertension associated with another disease,275791,Rare respiratory disease
Trigonocephaly-short stature-developmental delay syndrome,3369,Rare developmental defect during embryogenesis
Pulmonary arterial hypertension associated with connective tissue disease,275798,Rare respiratory disease
Trichomegaly-retina pigmentary degeneration-dwarfism syndrome,3363,Rare developmental defect during embryogenesis
Beta-thalassemia and related diseases,275749,Rare hematologic disease
Sickle cell disease and related diseases,275752,Rare hematologic disease
Lysosomal acid lipase deficiency,275761,Rare inborn errors of metabolism
Non-syndromic metopic craniosynostosis,3366,Rare developmental defect during embryogenesis
Trigonocephaly-broad thumbs syndrome,3365,Rare developmental defect during embryogenesis
Idiopathic pulmonary arterial hypertension,275766,Rare respiratory disease
Rare hemorrhagic disorder due to a constitutional thrombocytopenia,275729,Rare hematologic disease
Rare hemorrhagic disorder due to a qualitative platelet defect,275736,Rare hematologic disease
Trichodysplasia-xeroderma syndrome,3361,Rare skin disease
Genetic infertility,275742,Rare infertility
Alpha-thalassemia and related disorders,275745,Rare hematologic disease
Upington disease,3408,Rare bone disease
Benign epithelial tumor of salivary glands,276148,Rare gastroenterologic disease
Urban-Rogers-Meyer syndrome,3409,Rare developmental defect during embryogenesis
Malignant epithelial tumor of salivary glands,276145,Rare neoplastic disease
Multiple endocrine neoplasia,276161,Rare neoplastic disease
VACTERL with hydrocephalus,3412,Rare developmental defect during embryogenesis
Multiple endocrine neoplasia type 4,276152,Rare neoplastic disease
Genetic frontotemporal degeneration with dementia,276061,Rare neurologic disease
Uhl anomaly,3403,Rare developmental defect during embryogenesis
Genetic neurodegenerative disease with dementia,276058,Rare neurologic disease
Ulbright-Hodes syndrome,3404,Rare developmental defect during embryogenesis
Rare tumor of salivary glands,276142,Rare neoplastic disease
Bile acid CoA ligase deficiency and defective amidation,276066,Rare hepatic disease
Frontotemporal dementia with motor neuron disease,275872,Rare neurologic disease
Humerus trochlea aplasia,3383,Rare developmental defect during embryogenesis
Common arterial trunk,3384,Rare developmental defect during embryogenesis
Behavioral variant of frontotemporal dementia,275864,Rare neurologic disease
Hemolytic disease of the newborn with Kell alloimmunization,275944,Rare hematologic disease
Isolated anterior cervical hypertrichosis,3387,Rare skin disease
Neural tube defect,3388,Rare developmental defect during embryogenesis
Hemolytic disease due to fetomaternal alloimmunization,275938,Rare hematologic disease
Pulmonary hypertension owing to lung disease and/or hypoxia,275837,Rare respiratory disease
Mosaic trisomy 2 syndrome,1723,Rare developmental defect during embryogenesis
Pulmonary arterial hypertension associated with chronic hemolytic anemia,275828,Rare respiratory disease
Mosaic trisomy 20 syndrome,1724,Rare developmental defect during embryogenesis
Syndrome with pulmonary hypertension as a major feature,275853,Rare respiratory disease
Mosaic trisomy 7 syndrome,1747,Rare developmental defect during embryogenesis
Pulmonary hypertension with unclear multifactorial mechanism,275844,Rare respiratory disease
Genetic cardiac tumor,271841,Rare cardiac disease
Genetic soft tissue tumor,271832,Rare skin disease
Genetic digestive tract tumor,271835,Rare gastroenterologic disease
Tibial aplasia-ectrodactyly syndrome,3329,Rare developmental defect during embryogenesis
Absent tibia-polydactyly-arachnoid cyst syndrome,3328,Rare developmental defect during embryogenesis
Thyrocerebrorenal syndrome,3327,Rare renal disease
Thymic-renal-anal-lung dysplasia,3326,Rare developmental defect during embryogenesis
Hoyeraal-Hreidarsson syndrome,3322,Rare developmental defect during embryogenesis
Thoracolaryngopelvic dysplasia,3317,Rare bone disease
Thomas syndrome,3316,Rare developmental defect during embryogenesis
"Thiemann disease, familial form",3314,Rare bone disease
Trichoodontoonychial dysplasia,3355,Rare developmental defect during embryogenesis
Preeclampsia,275555,Rare gynecologic or obstetric disease
L1 syndrome,275543,Rare developmental defect during embryogenesis
Trichodermodysplasia-dental alterations syndrome,3353,Rare developmental defect during embryogenesis
Dianzani autoimmune lymphoproliferative disease,275523,Rare immune disease
Trichodental syndrome,3351,Rare developmental defect during embryogenesis
Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency,275517,Rare immune disease
Tricho-dento-osseous syndrome,3352,Rare developmental defect during embryogenesis
Tremor-nystagmus-duodenal ulcer syndrome,3350,Rare neurologic disease
Weismann-Netter syndrome,3344,Rare bone disease
Mounier-Kühn syndrome,3347,Rare respiratory disease
Torticollis-keloids-cryptorchidism-renal dysplasia syndrome,3341,Rare developmental defect during embryogenesis
Rare genetic systemic or rheumatologic disease,271870,Rare systemic or rheumatologic disease
Arterial tortuosity syndrome,3342,Rare circulatory system disease
Oculoectodermal syndrome,3339,Rare developmental defect during embryogenesis
Hereditary ATTR amyloidosis,271861,Rare systemic or rheumatologic disease
Genetic cardiac anomaly,271853,Rare developmental defect during embryogenesis
Genetic neuroendocrine tumor,271847,Rare neoplastic disease
Toriello-Carey syndrome,3338,Rare developmental defect during embryogenesis
Genetic urogenital tumor,271844,Rare neoplastic disease
XK aprosencephaly syndrome,3469,Rare developmental defect during embryogenesis
Genetic syndrome with a cerebellar malformation as a major feature,269567,Rare developmental defect during embryogenesis
Genetic syndrome with a Dandy-Walker malformation as a major feature,269570,Rare developmental defect during embryogenesis
Yunis-Varon syndrome,3472,Rare bone disease
Genetic syndrome with corpus callosum agenesis/dysgenesis as a major feature,269573,Rare developmental defect during embryogenesis
Young syndrome,3471,Rare respiratory disease
Congenital amegakaryocytic thrombocytopenia,3319,Rare hematologic disease
Zimmermann-Laband syndrome,3473,Rare developmental defect during embryogenesis
Wilson-Turner syndrome,3459,Rare developmental defect during embryogenesis
Other syndrome with a central nervous system malformation as a major feature,269531,Rare developmental defect during embryogenesis
Syndrome with a Dandy-Walker malformation as a major feature,269546,Rare developmental defect during embryogenesis
Genetic non-syndromic central nervous system malformation,269550,Rare developmental defect during embryogenesis
Woodhouse-Sakati syndrome,3464,Rare endocrine disease
Genetic cerebral malformation,269553,Rare developmental defect during embryogenesis
Genetic posterior fossa malformation,269557,Rare developmental defect during embryogenesis
WT limb-blood syndrome,3466,Rare developmental defect during embryogenesis
Genetic cerebellar malformation,269560,Rare developmental defect during embryogenesis
Worster-Drought syndrome,3465,Rare neurologic disease
Genetic syndrome with a central nervous system malformation as a major feature,269564,Rare developmental defect during embryogenesis
Oromandibular-limb hypogenesis syndrome,2749,Rare developmental defect during embryogenesis
Baraitser-Winter cerebrofrontofacial syndrome,2995,Rare developmental defect during embryogenesis
Arthrogryposis-ectodermal dysplasia syndrome,3200,Rare developmental defect during embryogenesis
Symbrachydactyly of hands and feet,1570,Rare developmental defect during embryogenesis
Sweet syndrome,3243,Rare skin disease
Acromelic frontonasal dysplasia,1827,Rare developmental defect during embryogenesis
X-linked intellectual disability-epilepsy syndrome,2076,Rare neurologic disease
Isolated focal cortical dysplasia type Ib,268980,Rare neurologic disease
Isolated focal cortical dysplasia type Ic,268987,Rare neurologic disease
Velo-facial-skeletal syndrome,3424,Rare developmental defect during embryogenesis
Isolated focal cortical dysplasia type Ia,268973,Rare neurologic disease
Isolated focal cortical dysplasia type IIb,269008,Rare neurologic disease
Microcephaly-brachydactyly-kyphoscoliosis syndrome,3433,Rare developmental defect during embryogenesis
Encephaloclastic disorder,269190,Rare developmental defect during embryogenesis
Isolated focal cortical dysplasia type II,268994,Rare neurologic disease
Verloove Vanhorick-Brubakk syndrome,3429,Rare developmental defect during embryogenesis
Isolated focal cortical dysplasia type IIa,269001,Rare neurologic disease
Van den Ende-Gupta syndrome,2460,Rare developmental defect during embryogenesis
Bilateral polymicrogyria,268940,Rare developmental defect during embryogenesis
Unilateral polymicrogyria,268943,Rare developmental defect during embryogenesis
Hyperostosis corticalis generalisata,3416,Rare bone disease
Midline cerebral malformation,268926,Rare developmental defect during embryogenesis
Isolated arhinencephaly,268936,Rare developmental defect during embryogenesis
Isolated focal cortical dysplasia type I,268961,Rare neurologic disease
Unilateral focal polymicrogyria,268947,Rare developmental defect during embryogenesis
Van den Bosch syndrome,3417,Rare developmental defect during embryogenesis
Cerebral cortical dysplasia,268950,Rare developmental defect during embryogenesis
Pontine tegmental cap dysplasia,269229,Rare developmental defect during embryogenesis
Autoimmune polyendocrinopathy type 1,3453,Rare endocrine disease
Global cerebellar malformation,269224,Rare developmental defect during embryogenesis
Weaver-Williams syndrome,3448,Rare developmental defect during embryogenesis
Isolated bilateral hemispheric cerebellar hypoplasia,269221,Rare developmental defect during embryogenesis
Weill-Marchesani syndrome,3449,Rare developmental defect during embryogenesis
Isolated unilateral hemispheric cerebellar hypoplasia,269218,Rare developmental defect during embryogenesis
Wildervanck syndrome,3456,Rare developmental defect during embryogenesis
Syndrome with microcephaly as a major feature,269528,Rare developmental defect during embryogenesis
Syndrome with a cerebellar malformation as a major feature,269523,Rare developmental defect during embryogenesis
Congenital non-communicating hydrocephalus,269510,Rare developmental defect during embryogenesis
Wieacker-Wolff syndrome,3454,Rare developmental defect during embryogenesis
Wiedemann-Rautenstrauch syndrome,3455,Rare developmental defect during embryogenesis
Congenital communicating hydrocephalus,269505,Rare developmental defect during embryogenesis
Isolated cerebellar vermis agenesis,269203,Rare developmental defect during embryogenesis
Glioependymal/ependymal cyst,269197,Rare developmental defect during embryogenesis
MMEP syndrome,3434,Rare developmental defect during embryogenesis
Central nervous system cystic malformation,269194,Rare developmental defect during embryogenesis
Isolated Dandy-Walker malformation without hydrocephalus,269215,Rare developmental defect during embryogenesis
Isolated Dandy-Walker malformation with hydrocephalus,269212,Rare developmental defect during embryogenesis
Isolated partial cerebellar vermis agenesis,269209,Rare developmental defect during embryogenesis
Isolated total cerebellar vermis agenesis,269206,Rare developmental defect during embryogenesis
Spondyloperipheral dysplasia-short ulna syndrome,1856,Rare bone disease
Autoimmune pancreatitis type 2,280315,Rare gastroenterologic disease
Sprengel deformity,3181,Rare developmental defect during embryogenesis
Autoimmune pancreatitis type 1,280302,Rare gastroenterologic disease
Alpha-dystroglycan-related limb-girdle muscular dystrophy R16,280333,Rare neurologic disease
Distal deletion 12p syndrome,280325,Rare developmental defect during embryogenesis
Pelizaeus-Merzbacher-like disease due to AIMP1 mutation,280293,Rare neurologic disease
Pelizaeus-Merzbacher-like disease due to HSPD1 mutation,280288,Rare neurologic disease
Rare pediatric vasculitis,280369,Rare systemic or rheumatologic disease
Corneodermatoosseous syndrome,3194,Rare developmental defect during embryogenesis
Autosomal semi-dominant severe lipodystrophic laminopathy,280365,Rare endocrine disease
Erythropoietic uroporphyria associated with myeloid malignancy,280379,Rare skin disease
Hereditary hyperekplexia,3197,Rare neurologic disease
Stimmler syndrome,3199,Rare developmental defect during embryogenesis
Rare pediatric systemic disease,280373,Rare systemic or rheumatologic disease
Steatocystoma multiplex-natal teeth syndrome,3184,Rare developmental defect during embryogenesis
Rare systemic or rheumatological disease of childhood,280342,Rare systemic or rheumatologic disease
Holoprosencephaly-radial heart renal anomalies syndrome,3186,Rare developmental defect during embryogenesis
Subaortic stenosis-short stature syndrome,3191,Rare developmental defect during embryogenesis
Supravalvular aortic stenosis,3193,Rare developmental defect during embryogenesis
PLIN1-related familial partial lipodystrophy,280356,Rare endocrine disease
"Deaf blind hypopigmentation syndrome, Yemenite type",3214,Rare developmental defect during embryogenesis
Inherited human prion disease,280400,Rare neurologic disease
Familial omphalocele syndrome with facial dysmorphism,280403,Rare developmental defect during embryogenesis
Familial steroid-resistant nephrotic syndrome with sensorineural deafness,280406,Rare renal disease
Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome,3201,Rare developmental defect during embryogenesis
Recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome,280384,Rare developmental defect during embryogenesis
Familial Alzheimer-like prion disease,280397,Rare neurologic disease
Nestor-Guillermo progeria syndrome,280576,Rare bone disease
Deafness-enamel hypoplasia-nail defects syndrome,3220,Rare developmental defect during embryogenesis
Fountain syndrome,3219,Rare developmental defect during embryogenesis
Phosphoribosylpyrophosphate synthetase superactivity,3222,Rare inborn errors of metabolism
"Chondrodysplasia with joint dislocations, gPAPP type",280586,Rare bone disease
Deafness-small bowel diverticulosis-neuropathy syndrome,3217,Rare neurologic disease
Fatal infantile hypertonic myofibrillar myopathy,280553,Rare neurologic disease
Warsaw breakage syndrome,280558,Rare developmental defect during embryogenesis
Conductive deafness-malformed external ear syndrome,3216,Rare developmental defect during embryogenesis
Deafness-epiphyseal dysplasia-short stature syndrome,3218,Rare developmental defect during embryogenesis
Calciphylaxis cutis,280065,Rare systemic or rheumatologic disease
Nijmegen breakage syndrome,647,Rare developmental defect during embryogenesis
Calciphylaxis,280062,Rare systemic or rheumatologic disease
Postorgasmic illness syndrome,279947,Rare systemic or rheumatologic disease
Hereditary neutrophilia,279943,Rare immune disease
"Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency",279934,Rare immune disease
Sclerosteosis,3152,Rare bone disease
Paraneoplastic uveitis,279928,Rare ophthalmic disorder
Infectious panuveitis,279925,Rare ophthalmic disorder
Infectious anterior uveitis,279922,Rare ophthalmic disorder
Severe combined immunodeficiency due to LCK deficiency,280142,Rare immune disease
"Omphalocele syndrome, Shprintzen-Goldberg type",3164,Rare developmental defect during embryogenesis
Sillence syndrome,3168,Rare developmental defect during embryogenesis
Complement component 3 deficiency,280133,Rare immune disease
SHORT syndrome,3163,Rare developmental defect during embryogenesis
Atrial septal defect-atrioventricular conduction defects syndrome,1479,Rare developmental defect during embryogenesis
Senior-Loken syndrome,3156,Rare renal disease
ALG11-CDG,280071,Rare inborn errors of metabolism
Visceral calciphylaxis,280068,Rare systemic or rheumatologic disease
Septo-optic dysplasia spectrum,3157,Rare developmental defect during embryogenesis
Spondylocamptodactyly syndrome,3180,Rare bone disease
"Pelizaeus-Merzbacher disease, connatal form",280210,Rare neurologic disease
"Pelizaeus-Merzbacher disease, classic form",280219,Rare neurologic disease
Microform holoprosencephaly,280200,Rare developmental defect during embryogenesis
Spinocerebellar degeneration-corneal dystrophy syndrome,3177,Rare ophthalmic disorder
Laryngotracheoesophageal cleft type 0,280205,Rare developmental defect during embryogenesis
X-linked spasticity-intellectual disability-epilepsy syndrome,3175,Rare neurologic disease
Septopreoptic holoprosencephaly,280195,Rare developmental defect during embryogenesis
Eyebrow duplication-syndactyly syndrome,3172,Rare developmental defect during embryogenesis
Methylmalonic aciduria due to transcobalamin receptor defect,280183,Rare inborn errors of metabolism
Pelizaeus-Merzbacher-like disease due to GJC2 mutation,280282,Rare neurologic disease
Pelizaeus-Merzbacher-like disease,280270,Rare developmental defect during embryogenesis
Null syndrome,280234,Rare neurologic disease
Spondyloenchondrodysplasia,1855,Rare bone disease
"Pelizaeus-Merzbacher disease, transitional form",280224,Rare neurologic disease
Autosomal dominant spondylocostal dysostosis,1797,Rare developmental defect during embryogenesis
Pelizaeus-Merzbacher disease in female carriers,280229,Rare neurologic disease
Autosomal dominant hyperinsulinism due to Kir6.2 deficiency,276580,Rare inborn errors of metabolism
Cenani-Lenz syndrome,3258,Rare developmental defect during embryogenesis
Autosomal dominant hyperinsulinism due to SUR1 deficiency,276575,Rare inborn errors of metabolism
Dobrow syndrome,3262,Rare developmental defect during embryogenesis
Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency,276598,Rare endocrine disease
Diazoxide-resistant hyperinsulinism,276585,Rare endocrine disease
Non-insulinoma pancreatogenous hypoglycemia syndrome,276608,Rare endocrine disease
Isolated humero-radial synostosis,3265,Rare developmental defect during embryogenesis
Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency,276603,Rare endocrine disease
Isolated humero-radio-ulnar synostosis,3266,Rare developmental defect during embryogenesis
Sporadic pheochromocytoma/secreting paraganglioma,276621,Rare endocrine disease
Radioulnar synostosis-microcephaly-scoliosis syndrome,3268,Rare developmental defect during embryogenesis
Symptomatic form of Coffin-Lowry syndrome in female carriers,276630,Rare developmental defect during embryogenesis
Radioulnar synostosis-developmental delay-hypotonia syndrome,3270,Rare developmental defect during embryogenesis
Spondylocarpotarsal synostosis,3275,Rare bone disease
Apolipoprotein A-I deficiency,425,Rare endocrine disease
Teebi-Shaltout syndrome,3291,Rare developmental defect during embryogenesis
Telecanthus-hypertelorism-strabismus-pes cavus syndrome,3293,Rare developmental defect during embryogenesis
Tel Hashomer camptodactyly syndrome,3292,Rare developmental defect during embryogenesis
Spasmus nutans,279882,Rare ophthalmic disorder
Extensor tendons of finger anomalies,3294,Rare developmental defect during embryogenesis
Acute endophthalmitis,279888,Rare ophthalmic disorder
Chronic endophthalmitis,279891,Rare ophthalmic disorder
Toxic maculopathy due to antimalarial drugs,279894,Rare ophthalmic disorder
Tetraamelia-multiple malformations syndrome,3301,Rare developmental defect during embryogenesis
Primary oculocerebral lymphoma,279897,Rare neoplastic disease
Primary intraocular lymphoma,279904,Rare neoplastic disease
Primary organ-specific lymphoma,279911,Rare neoplastic disease
Fallot complex-intellectual disability-growth delay syndrome,3304,Rare developmental defect during embryogenesis
Thalidomide embryopathy,3312,Rare developmental defect during embryogenesis
Intermediate uveitis,279914,Rare ophthalmic disorder
Infectious posterior uveitis,279919,Rare ophthalmic disorder
Spinocerebellar ataxia type 36,276198,Rare neurologic disease
Hearing loss-familial salivary gland insensitivity to aldosterone syndrome,3225,Rare endocrine disease
Spinocerebellar ataxia type 35,276193,Rare neurologic disease
Spinocerebellar ataxia type 32,276183,Rare neurologic disease
Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome,3224,Rare developmental defect during embryogenesis
Idiopathic recurrent stupor,276174,Rare neurologic disease
Machado-Joseph disease type 1,276238,Rare neurologic disease
Non-syndromic male infertility due to sperm motility disorder,276234,Rare infertility
"Mucopolysaccharidosis type 6, slowly progressing",276223,Rare inborn errors of metabolism
"Mucopolysaccharidosis type 6, rapidly progressing",276212,Rare inborn errors of metabolism
Deafness-oligodontia syndrome,3230,Rare developmental defect during embryogenesis
Deafness-onychodystrophy syndrome,3231,Rare developmental defect during embryogenesis
Machado-Joseph disease type 3,276244,Rare neurologic disease
Machado-Joseph disease type 2,276241,Rare neurologic disease
Progressive deafness with stapes fixation,3235,Rare developmental defect during embryogenesis
Conductive deafness-ptosis-skeletal anomalies syndrome,3236,Rare developmental defect during embryogenesis
